"2025-01-22 23:02:27","Sad, Depressed","too much work"
"2025-01-10 23:02:43","Guilty, Ashamed","Lied to my friend"
"2025-01-11 23:02:54","Frustrated","lost my phone"
"2025-01-12 23:04:04","Anxious, Worried, Terrified, Nervous, Panicked","hard deadline"
"2025-01-13 23:04:16","Anxious, Worried, Terrified, Nervous, Panicked","election"
"2025-01-14 23:04:33","Lonely","just lonely"
"2025-01-15 23:04:55","Hopeless, Discouraged","didn't get a raise"
"2025-01-16 23:07:19","Happy","Birthday"
"2025-01-17 23:07:37","Sad, Depressed","too cold"
"2025-01-18 11:37:08","Guilty, Ashamed","I lied to my friend"
"2025-01-19 11:46:48","Sad, Depressed","I lost my keys"
"2025-01-20 11:47:00","Guilty, Ashamed","I broke my mom's favorite vase"
"2025-01-21 11:47:00","Sad, Depressed","it's too cold"
"2025-01-22 11:47:00","Guilty, Ashamed","don't know"
"2025-01-23 11:47:00","Anxious, Worried, Terrified, Nervous, Panicked","Exams"
"2025-01-24 11:47:00","Sad, Depressed","Bad grades"
"2025-01-25 11:47:00","Anxious, Worried, Terrified, Nervous, Panicked","project"